#group,false,false,false,false,false
#datatype,double,double,double,string,dateTime:RFC3339
#default,,,,,
,Humidity,Light,Temperature,location,time
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:46.074823588Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:47.226505094Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:48.344869723Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:49.493498426Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:50.664201345Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:51.751582133Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:52.916158897Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:54.065465642Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:55.205728103Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:56.333111207Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:57.492531804Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:58.68306344Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:04:59.751045266Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:00.922642498Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:02.069044169Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:03.178731206Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:04.296042405Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:05.44613565Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:06.545102385Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:13.467003939Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:14.545090315Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:15.685344466Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:17.047037891Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:18.13294509Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:19.20565995Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:20.309615644Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:21.943512322Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:23.095874132Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:24.755683011Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:25.875265389Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:26.956332062Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:28.026635687Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:29.455299458Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:30.555191059Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:31.65522278Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:33.195928196Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:34.30463509Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:35.373702966Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:36.47563664Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:37.575188724Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:39.542956806Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:40.648861952Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:41.73494408Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:42.800744878Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:43.90476733Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:45.054885164Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:46.135288851Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:47.695967058Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:48.924225494Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:50.029763204Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:51.134669963Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:52.826131065Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:53.925827579Z
,48.9,13.46,33.4,Bologna,2025-06-29T14:05:55.116178207Z
